timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681236275,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-9,text,false,,1243,0,15,15,null,0,0,0
946681236275,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-8,text,false,,1243,0,15,15,null,0,0,0
946681233263,3014,200,,Thread-Gruppe 1-14,text,true,,9921,429,15,15,null,1999,0,20
946681233263,1999,302,,Thread-Gruppe 1-14,,true,,803,279,15,15,null,1999,0,20
946681235263,1014,200,,Thread-Gruppe 1-14,text,true,,9118,150,15,15,null,1014,0,0
946681236278,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-14,text,false,,1243,0,15,15,null,0,0,0
946681236484,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-6,text,false,,1231,0,15,15,null,0,0,0
946681236717,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-3,text,false,,1231,0,15,15,null,0,0,0
946681236718,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-1,text,false,,1231,0,15,15,null,0,0,0
946681236780,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-10,text,false,,1231,0,15,15,null,0,0,0
946681236780,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-4,text,false,,1231,0,15,15,null,0,0,0
946681236872,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-8,text,false,,1231,0,15,15,null,0,0,0
946681236872,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-9,text,false,,1231,0,15,15,null,0,0,0
946681236873,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-11,text,false,,1231,0,15,15,null,0,0,0
