timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,119,"Level 2, Run 1Home",200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,null,119,0,11
946681200040,81,"Level 2, Run 1Home",200,,Thread-Gruppe 1-2,text,true,,9118,150,3,3,null,81,0,9
946681200174,135,"Level 2, Run 1Home",200,,Thread-Gruppe 1-5,text,true,,9118,150,7,7,null,135,0,12
946681200085,229,"Level 2, Run 1Home",200,,Thread-Gruppe 1-3,text,true,,9118,150,8,8,null,226,0,34
946681200130,184,"Level 2, Run 1Home",200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,null,184,0,15
946681200219,287,"Level 2, Run 1Home",200,,Thread-Gruppe 1-6,text,true,,9118,150,12,12,null,287,0,17
946681200355,267,"Level 2, Run 1Home",200,,Thread-Gruppe 1-9,text,true,,9118,150,14,14,null,267,0,9
946681200120,581,"Level 2, Run 1Login",200,,Thread-Gruppe 1-1,text,true,,9920,428,16,16,null,182,0,0
946681200120,182,"Level 2, Run 1Login-0",302,,Thread-Gruppe 1-1,,true,,802,278,16,16,null,182,0,0
946681200302,399,"Level 2, Run 1Login-1",200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,null,399,0,0
946681200121,583,"Level 2, Run 1Login",200,,Thread-Gruppe 1-2,text,true,,9921,428,16,16,null,180,0,0
946681200121,180,"Level 2, Run 1Login-0",302,,Thread-Gruppe 1-2,,true,,803,278,16,16,null,180,0,0
946681200301,403,"Level 2, Run 1Login-1",200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,null,400,0,0
946681200490,232,"Level 2, Run 1Home",200,,Thread-Gruppe 1-12,text,true,,9118,150,17,17,null,232,0,16
946681200310,496,"Level 2, Run 1Home",200,,Thread-Gruppe 1-8,text,true,,9118,150,19,19,null,496,0,11
946681200266,540,"Level 2, Run 1Home",200,,Thread-Gruppe 1-7,text,true,,9118,150,19,19,null,540,0,8
946681200399,407,"Level 2, Run 1Home",200,,Thread-Gruppe 1-10,text,true,,9118,150,19,19,null,407,0,12
946681200535,276,"Level 2, Run 1Home",200,,Thread-Gruppe 1-13,text,true,,9118,150,19,19,null,275,0,12
946681200445,382,"Level 2, Run 1Home",200,,Thread-Gruppe 1-11,text,true,,9118,150,19,19,null,382,0,11
946681200314,594,"Level 2, Run 1Login",200,,Thread-Gruppe 1-4,text,true,,9921,428,21,21,null,308,0,0
946681200314,308,"Level 2, Run 1Login-0",302,,Thread-Gruppe 1-4,,true,,803,278,21,21,null,308,0,0
946681200622,286,"Level 2, Run 1Login-1",200,,Thread-Gruppe 1-4,text,true,,9118,150,21,21,null,286,0,0
946681200624,284,"Level 2, Run 1Home",200,,Thread-Gruppe 1-15,text,true,,9118,150,21,21,null,284,0,8
946681200314,594,"Level 2, Run 1Login",200,,Thread-Gruppe 1-3,text,true,,9920,428,21,21,null,286,0,0
946681200314,286,"Level 2, Run 1Login-0",302,,Thread-Gruppe 1-3,,true,,802,278,21,21,null,286,0,0
946681200600,308,"Level 2, Run 1Login-1",200,,Thread-Gruppe 1-3,text,true,,9118,150,21,21,null,308,0,0
946681200579,331,"Level 2, Run 1Home",200,,Thread-Gruppe 1-14,text,true,,9118,150,21,21,null,331,0,7
946681200670,335,"Level 2, Run 1Home",200,,Thread-Gruppe 1-16,text,true,,9118,150,22,22,null,335,0,9
946681200759,246,"Level 2, Run 1Home",200,,Thread-Gruppe 1-18,text,true,,9118,150,22,22,null,246,0,19
946681200622,386,"Level 2, Run 1Login",200,,Thread-Gruppe 1-9,text,true,,9921,428,22,22,null,184,0,0
946681200622,184,"Level 2, Run 1Login-0",302,,Thread-Gruppe 1-9,,true,,803,278,22,22,null,184,0,0
946681200806,202,"Level 2, Run 1Login-1",200,,Thread-Gruppe 1-9,text,true,,9118,150,22,22,null,202,0,0
946681200310,698,"Level 2, Run 1Login",200,,Thread-Gruppe 1-5,text,true,,9920,428,22,22,null,391,0,0
