timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,362,"Level 4, Run 1Home",200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,null,362,0,11
946681200127,1433,"Level 4, Run 1Home",200,,Thread-Gruppe 1-2,text,true,,9118,150,8,8,null,1433,0,32
946681200247,1420,"Level 4, Run 1Home",200,,Thread-Gruppe 1-3,text,true,,9118,150,8,8,null,1420,0,24
946681200497,1473,"Level 4, Run 1Home",200,,Thread-Gruppe 1-5,text,true,,9118,150,8,8,null,1366,0,11
946681200622,1641,"Level 4, Run 1Home",200,,Thread-Gruppe 1-6,text,true,,9118,150,8,8,null,1641,0,16
946681200747,1718,"Level 4, Run 1Home",200,,Thread-Gruppe 1-7,text,true,,9118,150,8,8,null,1718,0,11
946681200372,2402,"Level 4, Run 1Home",200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,null,2402,0,10
946681200873,1901,"Level 4, Run 1Home",200,,Thread-Gruppe 1-8,text,true,,9118,150,8,8,null,1901,0,10
946681201560,3631,"Level 4, Run 1Login",200,,Thread-Gruppe 1-2,text,true,,9921,428,8,8,null,1300,0,0
946681201560,1300,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-2,,true,,803,278,8,8,null,1300,0,0
946681202860,2331,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-2,text,true,,9118,150,8,8,null,2299,0,0
946681202264,3392,"Level 4, Run 1Login",200,,Thread-Gruppe 1-6,text,true,,9922,428,8,8,null,792,0,0
946681202264,792,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-6,,true,,804,278,8,8,null,792,0,0
946681203056,2600,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-6,text,true,,9118,150,8,8,null,2600,0,0
946681201970,4132,"Level 4, Run 1Login",200,,Thread-Gruppe 1-5,text,true,,9921,428,8,8,null,890,0,0
946681201970,890,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-5,,true,,803,278,8,8,null,890,0,0
946681202860,3242,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-5,text,true,,9118,150,8,8,null,3242,0,0
946681202774,3995,"Level 4, Run 1Login",200,,Thread-Gruppe 1-4,text,true,,9921,428,8,8,null,1087,0,0
946681202774,1087,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-4,,true,,803,278,8,8,null,1087,0,0
946681203861,2908,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,null,2908,0,0
946681200362,6407,"Level 4, Run 1Login",200,,Thread-Gruppe 1-1,text,true,,9921,428,8,8,null,3074,0,0
946681200362,3074,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-1,,true,,803,278,8,8,null,3074,0,0
946681203436,3333,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-1,text,true,,9118,150,8,8,null,3333,0,0
946681201668,5101,"Level 4, Run 1Login",200,,Thread-Gruppe 1-3,text,true,,9922,428,8,8,null,1588,0,0
946681201668,1588,"Level 4, Run 1Login-0",302,,Thread-Gruppe 1-3,,true,,804,278,8,8,null,1588,0,0
946681203256,3513,"Level 4, Run 1Login-1",200,,Thread-Gruppe 1-3,text,true,,9118,150,8,8,null,3513,0,0
946681202774,4464,"Level 4, Run 1Login",200,,Thread-Gruppe 1-8,text,true,,9922,428,8,8,null,1189,0,0
