timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,220,"Level 1, Run 1Home",200,,Thread-Gruppe 1-1,text,true,,9118,150,7,7,null,220,0,28
946681200034,195,"Level 1, Run 1Home",200,,Thread-Gruppe 1-2,text,true,,9118,150,8,8,null,186,0,14
946681200066,270,"Level 1, Run 1Home",200,,Thread-Gruppe 1-3,text,true,,9118,150,11,11,null,270,0,11
946681200129,484,"Level 1, Run 1Home",200,,Thread-Gruppe 1-5,text,true,,9118,150,19,19,null,484,0,9
946681200162,654,"Level 1, Run 1Home",200,,Thread-Gruppe 1-6,text,true,,9118,150,25,25,null,654,0,8
946681200360,559,"Level 1, Run 1Home",200,,Thread-Gruppe 1-12,text,true,,9118,150,28,28,null,559,0,9
946681200294,712,"Level 1, Run 1Home",200,,Thread-Gruppe 1-10,text,true,,9118,150,30,30,null,624,0,9
946681200100,906,"Level 1, Run 1Home",200,,Thread-Gruppe 1-4,text,true,,9118,150,30,30,null,906,0,36
946681200326,695,"Level 1, Run 1Home",200,,Thread-Gruppe 1-11,text,true,,9118,150,30,30,null,695,0,12
946681200228,800,"Level 1, Run 1Home",200,,Thread-Gruppe 1-8,text,true,,9118,150,30,30,null,793,0,11
946681200460,568,"Level 1, Run 1Home",200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,null,568,0,10
946681200392,637,"Level 1, Run 1Home",200,,Thread-Gruppe 1-13,text,true,,9118,150,30,30,null,636,0,9
946681200196,833,"Level 1, Run 1Home",200,,Thread-Gruppe 1-7,text,true,,9118,150,30,30,null,833,0,33
946681200427,602,"Level 1, Run 1Home",200,,Thread-Gruppe 1-14,text,true,,9118,150,30,30,null,602,0,29
946681200691,2222,"Level 1, Run 1Home",200,,Thread-Gruppe 1-22,text,true,,9118,150,30,30,null,2222,0,9
946681200261,2785,"Level 1, Run 1Home",200,,Thread-Gruppe 1-9,text,true,,9118,150,30,30,null,2785,0,8
946681200624,2597,"Level 1, Run 1Home",200,,Thread-Gruppe 1-20,text,true,,9118,150,30,30,null,2597,0,11
946681200788,2434,"Level 1, Run 1Home",200,,Thread-Gruppe 1-25,text,true,,9118,150,30,30,null,2434,0,15
946681200656,2567,"Level 1, Run 1Home",200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,null,2461,0,27
946681200724,2499,"Level 1, Run 1Home",200,,Thread-Gruppe 1-23,text,true,,9118,150,30,30,null,2499,0,13
946681200525,2698,"Level 1, Run 1Home",200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,null,2697,0,22
946681200230,3105,"Level 1, Run 1Login",200,,Thread-Gruppe 1-2,text,true,,9921,428,30,30,null,679,0,0
946681200230,679,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-2,,true,,803,278,30,30,null,679,0,0
946681200909,2426,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-2,text,true,,9118,150,30,30,null,2426,0,0
946681200559,2855,"Level 1, Run 1Home",200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,null,2854,0,11
946681200855,2560,"Level 1, Run 1Home",200,,Thread-Gruppe 1-27,text,true,,9118,150,30,30,null,2560,0,11
946681200591,2825,"Level 1, Run 1Home",200,,Thread-Gruppe 1-19,text,true,,9118,150,30,30,null,2825,0,22
946681200954,2561,"Level 1, Run 1Home",200,,Thread-Gruppe 1-30,text,true,,9118,150,30,30,null,2561,0,14
946681200493,3121,"Level 1, Run 1Home",200,,Thread-Gruppe 1-16,text,true,,9118,150,30,30,null,3121,0,54
946681200920,2800,"Level 1, Run 1Home",200,,Thread-Gruppe 1-29,text,true,,9118,150,30,30,null,2800,0,9
946681200221,3586,"Level 1, Run 1Login",200,,Thread-Gruppe 1-1,text,true,,9921,428,30,30,null,688,0,0
946681200221,688,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-1,,true,,803,278,30,30,null,688,0,0
946681200909,2898,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-1,text,true,,9118,150,30,30,null,2898,0,0
946681200755,3156,"Level 1, Run 1Home",200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,null,3156,0,14
946681200336,3583,"Level 1, Run 1Login",200,,Thread-Gruppe 1-3,text,true,,9921,428,30,30,null,376,0,0
946681200336,376,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-3,,true,,803,278,30,30,null,376,0,0
946681200712,3207,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-3,text,true,,9118,150,30,30,null,3207,0,0
946681200887,3168,"Level 1, Run 1Home",200,,Thread-Gruppe 1-28,text,true,,9118,150,30,30,null,3168,0,8
946681202914,1141,"Level 1, Run 1Login",200,,Thread-Gruppe 1-22,text,true,,9922,429,30,30,null,502,0,0
946681202914,502,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-22,,true,,804,279,30,30,null,502,0,0
946681203416,639,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-22,text,true,,9118,150,30,30,null,639,0,0
946681200919,3198,"Level 1, Run 1Login",200,,Thread-Gruppe 1-12,text,true,,9921,429,30,30,null,2495,0,0
946681200919,2495,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-12,,true,,803,279,30,30,null,2495,0,0
946681203414,703,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-12,text,true,,9118,150,30,30,null,703,0,0
946681200822,3295,"Level 1, Run 1Home",200,,Thread-Gruppe 1-26,text,true,,9118,150,30,30,null,3295,0,16
946681201006,3204,"Level 1, Run 1Login",200,,Thread-Gruppe 1-4,text,true,,9920,428,30,30,null,2509,0,0
946681201006,2509,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-4,,true,,802,278,30,30,null,2509,0,0
946681203515,695,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-4,text,true,,9118,150,30,30,null,695,0,0
946681200614,3896,"Level 1, Run 1Login",200,,Thread-Gruppe 1-5,text,true,,9921,428,30,30,null,3004,0,0
946681200614,3004,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-5,,true,,803,278,30,30,null,3004,0,0
946681203618,892,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-5,text,true,,9118,150,30,30,null,892,0,0
946681201021,3608,"Level 1, Run 1Login",200,,Thread-Gruppe 1-11,text,true,,9921,429,30,30,null,2586,0,0
946681201021,2586,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-11,,true,,803,279,30,30,null,2586,0,0
946681203607,1022,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-11,text,true,,9118,150,30,30,null,1022,0,0
946681201029,3601,"Level 1, Run 1Login",200,,Thread-Gruppe 1-13,text,true,,9922,429,30,30,null,2691,0,0
946681201029,2691,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-13,,true,,804,279,30,30,null,2691,0,0
946681203720,910,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-13,text,true,,9118,150,30,30,null,910,0,0
946681200816,3814,"Level 1, Run 1Login",200,,Thread-Gruppe 1-6,text,true,,9921,428,30,30,null,3096,0,0
946681200816,3096,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-6,,true,,803,278,30,30,null,3096,0,0
946681203912,718,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-6,text,true,,9118,150,30,30,null,718,0,0
946681203222,1408,"Level 1, Run 1Login",200,,Thread-Gruppe 1-20,text,true,,9920,429,30,30,null,585,0,0
946681203222,585,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-20,,true,,802,279,30,30,null,585,0,0
946681203807,823,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-20,text,true,,9118,150,30,30,null,822,0,0
946681201006,3624,"Level 1, Run 1Login",200,,Thread-Gruppe 1-10,text,true,,9922,429,30,30,null,2714,0,0
946681201006,2714,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-10,,true,,804,279,30,30,null,2714,0,0
946681203720,910,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-10,text,true,,9118,150,30,30,null,910,0,0
946681203416,1216,"Level 1, Run 1Login",200,,Thread-Gruppe 1-19,text,true,,9921,429,30,30,null,496,0,0
946681203416,496,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-19,,true,,803,279,30,30,null,496,0,0
946681203912,720,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-19,text,true,,9118,150,30,30,null,720,0,0
946681201028,3604,"Level 1, Run 1Login",200,,Thread-Gruppe 1-15,text,true,,9922,429,30,30,null,3027,0,0
946681201028,3027,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-15,,true,,804,279,30,30,null,3027,0,0
946681204055,577,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,null,577,0,0
946681201030,3681,"Level 1, Run 1Login",200,,Thread-Gruppe 1-7,text,true,,9921,428,30,30,null,2584,0,0
946681201030,2584,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-7,,true,,803,278,30,30,null,2584,0,0
946681203614,1097,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-7,text,true,,9118,150,30,30,null,1097,0,0
946681201030,3786,"Level 1, Run 1Login",200,,Thread-Gruppe 1-14,text,true,,9922,429,30,30,null,3025,0,0
946681201030,3025,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-14,,true,,804,279,30,30,null,3025,0,0
946681204055,761,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-14,text,true,,9118,150,30,30,null,761,0,0
946681203046,1967,"Level 1, Run 1Login",200,,Thread-Gruppe 1-9,text,true,,9922,428,30,30,null,866,0,0
946681203046,866,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-9,,true,,804,278,30,30,null,866,0,0
946681203912,1101,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-9,text,true,,9118,150,30,30,null,1101,0,0
946681203720,1293,"Level 1, Run 1Login",200,,Thread-Gruppe 1-29,text,true,,9920,429,30,30,null,331,0,0
946681203720,331,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-29,,true,,802,279,30,30,null,331,0,0
946681204051,962,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-29,text,true,,9118,150,30,30,null,962,0,0
946681203223,1893,"Level 1, Run 1Login",200,,Thread-Gruppe 1-23,text,true,,9920,429,30,30,null,987,0,0
946681203223,987,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-23,,true,,802,279,30,30,null,987,0,0
946681204210,906,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-23,text,true,,9118,150,30,30,null,905,0,0
946681203223,1993,"Level 1, Run 1Login",200,,Thread-Gruppe 1-21,text,true,,9921,429,30,30,null,688,0,0
946681203223,688,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-21,,true,,803,279,30,30,null,688,0,0
946681203911,1305,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,null,1205,0,0
946681201028,4189,"Level 1, Run 1Login",200,,Thread-Gruppe 1-8,text,true,,9922,428,30,30,null,2883,0,0
946681201028,2883,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-8,,true,,804,278,30,30,null,2883,0,0
946681203911,1306,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-8,text,true,,9118,150,30,30,null,1305,0,0
946681203414,1803,"Level 1, Run 1Login",200,,Thread-Gruppe 1-18,text,true,,9921,429,30,30,null,641,0,0
946681203414,641,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-18,,true,,803,279,30,30,null,641,0,0
946681204055,1162,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,null,1162,0,0
946681203912,1308,"Level 1, Run 1Login",200,,Thread-Gruppe 1-24,text,true,,9920,429,30,30,null,507,0,0
946681203912,507,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-24,,true,,802,279,30,30,null,507,0,0
946681204419,801,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,null,798,0,0
946681203222,2001,"Level 1, Run 1Login",200,,Thread-Gruppe 1-25,text,true,,9922,429,30,30,null,1105,0,0
946681203222,1105,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-25,,true,,804,279,30,30,null,1105,0,0
946681204327,896,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-25,text,true,,9118,150,30,30,null,896,0,0
946681203223,2098,"Level 1, Run 1Login",200,,Thread-Gruppe 1-17,text,true,,9919,429,30,30,null,890,0,0
946681203223,890,"Level 1, Run 1Login-0",302,,Thread-Gruppe 1-17,,true,,801,279,30,30,null,890,0,0
946681204113,1208,"Level 1, Run 1Login-1",200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,null,1208,0,0
