timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776897536775,50,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,50,0,11
1776897536810,32,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,3,3,32,0,10
1776897536826,44,Login,200,,Thread-Gruppe 1-1,text,true,,9921,428,3,3,24,0,0
1776897536826,24,Login-0,302,,Thread-Gruppe 1-1,,true,,803,278,3,3,24,0,0
1776897536850,20,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,20,0,0
1776897536841,29,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,3,3,29,0,9
1776897536842,60,Login,200,,Thread-Gruppe 1-2,text,true,,9922,428,4,4,22,0,0
1776897536842,22,Login-0,302,,Thread-Gruppe 1-2,,true,,804,278,4,4,22,0,0
1776897536864,38,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,4,4,38,0,0
1776897536872,86,Login,200,,Thread-Gruppe 1-3,text,true,,9921,428,6,6,30,0,0
1776897536872,30,Login-0,302,,Thread-Gruppe 1-3,,true,,803,278,6,6,30,0,0
1776897536902,56,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,6,6,56,0,0
1776897536875,91,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,6,6,91,0,28
1776897536870,183,List Products,200,,Thread-Gruppe 1-1,text,true,,123956,176,9,9,32,0,0
1776897536906,187,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,10,10,187,0,52
1776897536902,210,List Products,200,,Thread-Gruppe 1-2,text,true,,105228,176,11,11,152,0,0
1776897536940,244,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,13,13,244,0,112
1776897537005,291,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,16,16,291,0,94
1776897537105,191,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,16,16,191,0,13
