timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776721283906,76,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,76,0,9
1776721283937,104,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,5,5,104,0,14
1776721283970,248,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,10,10,248,0,14
1776721283993,225,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,10,10,225,0,9
1776721284058,166,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,11,11,166,0,13
1776721284026,198,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,11,11,198,0,27
1776721283983,341,Login,200,,Thread-Gruppe 1-1,text,true,,9921,428,14,14,140,0,0
1776721283983,140,Login-0,302,,Thread-Gruppe 1-1,,true,,803,278,14,14,140,0,0
1776721284123,201,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,14,14,201,0,0
1776721284125,201,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,14,14,201,0,44
1776721284091,240,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,14,14,240,0,14
1776721284158,178,Home,200,,Thread-Gruppe 1-9,text,true,,9118,150,14,14,178,0,11
1776721284191,235,Home,200,,Thread-Gruppe 1-10,text,true,,9118,150,17,17,235,0,12
1776721284041,389,Login,200,,Thread-Gruppe 1-2,text,true,,9922,428,17,17,175,0,0
1776721284041,175,Login-0,302,,Thread-Gruppe 1-2,,true,,804,278,17,17,175,0,0
1776721284216,214,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,17,17,210,0,0
1776721284289,147,Home,200,,Thread-Gruppe 1-13,text,true,,9118,150,17,17,147,0,28
1776721284256,270,Home,200,,Thread-Gruppe 1-12,text,true,,9118,150,20,20,270,0,50
1776721284223,328,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,20,20,328,0,51
1776721284245,387,Login,200,,Thread-Gruppe 1-5,text,true,,9921,428,23,23,181,0,0
1776721284245,181,Login-0,302,,Thread-Gruppe 1-5,,true,,803,278,23,23,181,0,0
1776721284426,206,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,23,23,206,0,0
1776721284324,308,Home,200,,Thread-Gruppe 1-14,text,true,,9118,150,23,23,228,0,13
1776721284278,356,Login,200,,Thread-Gruppe 1-6,text,true,,9921,428,23,23,148,0,0
1776721284278,148,Login-0,302,,Thread-Gruppe 1-6,,true,,803,278,23,23,148,0,0
