timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776901705086,362,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,3,3,362,0,11
1776901705213,1433,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,8,8,1433,0,32
1776901705333,1420,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,8,8,1420,0,24
1776901705583,1473,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,8,8,1366,0,11
1776901705708,1641,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,8,8,1641,0,16
1776901705833,1718,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,8,8,1718,0,11
1776901705458,2402,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,2402,0,10
1776901705959,1901,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,8,8,1901,0,10
1776901706646,3631,Login,200,,Thread-Gruppe 1-2,text,true,,9921,428,8,8,1300,0,0
1776901706646,1300,Login-0,302,,Thread-Gruppe 1-2,,true,,803,278,8,8,1300,0,0
1776901707946,2331,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,8,8,2299,0,0
1776901707350,3392,Login,200,,Thread-Gruppe 1-6,text,true,,9922,428,8,8,792,0,0
1776901707350,792,Login-0,302,,Thread-Gruppe 1-6,,true,,804,278,8,8,792,0,0
1776901708142,2600,Login-1,200,,Thread-Gruppe 1-6,text,true,,9118,150,8,8,2600,0,0
1776901707056,4132,Login,200,,Thread-Gruppe 1-5,text,true,,9921,428,8,8,890,0,0
1776901707056,890,Login-0,302,,Thread-Gruppe 1-5,,true,,803,278,8,8,890,0,0
1776901707946,3242,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,8,8,3242,0,0
1776901707860,3995,Login,200,,Thread-Gruppe 1-4,text,true,,9921,428,8,8,1087,0,0
1776901707860,1087,Login-0,302,,Thread-Gruppe 1-4,,true,,803,278,8,8,1087,0,0
1776901708947,2908,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,2908,0,0
1776901705448,6407,Login,200,,Thread-Gruppe 1-1,text,true,,9921,428,8,8,3074,0,0
1776901705448,3074,Login-0,302,,Thread-Gruppe 1-1,,true,,803,278,8,8,3074,0,0
1776901708522,3333,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,8,8,3333,0,0
1776901706754,5101,Login,200,,Thread-Gruppe 1-3,text,true,,9922,428,8,8,1588,0,0
1776901706754,1588,Login-0,302,,Thread-Gruppe 1-3,,true,,804,278,8,8,1588,0,0
1776901708342,3513,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,8,8,3513,0,0
1776901707860,4464,Login,200,,Thread-Gruppe 1-8,text,true,,9922,428,8,8,1189,0,0
1776901707860,1189,Login-0,302,,Thread-Gruppe 1-8,,true,,804,278,8,8,1189,0,0
1776901709049,3275,Login-1,200,,Thread-Gruppe 1-8,text,true,,9118,150,8,8,3275,0,0
1776901707551,4773,Login,200,,Thread-Gruppe 1-7,text,true,,9921,428,8,8,1189,0,0
1776901707551,1189,Login-0,302,,Thread-Gruppe 1-7,,true,,803,278,8,8,1189,0,0
1776901708741,3583,Login-1,200,,Thread-Gruppe 1-7,text,true,,9118,150,8,8,3339,0,0
1776901711187,23760,List Products,200,,Thread-Gruppe 1-5,text,true,,112658,176,8,8,23264,0,0
1776901711855,23104,List Products,200,,Thread-Gruppe 1-3,text,true,,97994,176,8,8,22779,0,0
1776901710277,24721,List Products,200,,Thread-Gruppe 1-2,text,true,,112658,176,8,8,24358,0,0
1776901711854,23147,List Products,200,,Thread-Gruppe 1-4,text,true,,97994,176,8,8,22780,0,0
1776901711854,23167,List Products,200,,Thread-Gruppe 1-1,text,true,,97994,176,8,8,22783,0,0
1776901712323,22738,List Products,200,,Thread-Gruppe 1-7,text,true,,112658,176,8,8,22310,0,0
1776901710741,24428,List Products,200,,Thread-Gruppe 1-6,text,true,,97994,176,8,8,23896,0,0
1776901712323,22932,List Products,200,,Thread-Gruppe 1-8,text,true,,151559,176,8,8,22310,0,0
1776901734960,25563,Look at Product,200,,Thread-Gruppe 1-3,text,true,,104195,163,8,8,25384,0,0
1776901735003,25522,Look at Product,200,,Thread-Gruppe 1-4,text,true,,104133,162,8,8,25351,0,0
1776901734949,25578,Look at Product,200,,Thread-Gruppe 1-5,text,true,,108797,164,8,8,25401,0,0
1776901735022,25545,Look at Product,200,,Thread-Gruppe 1-1,text,true,,103776,163,8,8,25353,0,0
1776901735062,25507,Look at Product,200,,Thread-Gruppe 1-7,text,true,,107247,164,8,8,25302,0,0
1776901734999,25576,Look at Product,200,,Thread-Gruppe 1-2,text,true,,106213,164,8,8,25398,0,0
1776901735171,25464,Look at Product,200,,Thread-Gruppe 1-6,text,true,,103491,163,8,8,25169,0,0
1776901735257,25525,Look at Product,200,,Thread-Gruppe 1-8,text,true,,149385,164,8,8,25085,0,0
1776901760567,16975,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,9792,262,8,8,16975,0,0
1776901760575,17787,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,9792,263,8,8,17783,0,0
1776901760523,17848,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,9792,262,8,8,17848,0,0
1776901760569,17802,Add Product to Cart,200,,Thread-Gruppe 1-7,text,true,,9792,263,8,8,17802,0,0
1776901760782,17590,Add Product to Cart,200,,Thread-Gruppe 1-8,text,true,,9792,263,8,8,17580,0,0
1776901760635,17737,Add Product to Cart,200,,Thread-Gruppe 1-6,text,true,,9792,262,8,8,17737,0,0
1776901760527,17846,Add Product to Cart,200,,Thread-Gruppe 1-5,text,true,,9792,263,8,8,17845,0,0
1776901760525,17848,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,9792,261,8,8,17848,0,0
1776901777542,1781,Update Cart,200,,Thread-Gruppe 1-1,text,true,,10461,447,8,8,829,0,9
1776901777542,829,Update Cart-0,302,,Thread-Gruppe 1-1,,true,,669,293,8,8,829,0,9
1776901778372,951,Update Cart-1,200,,Thread-Gruppe 1-1,text,true,,9792,154,8,8,951,0,0
1776901778371,1363,Update Cart,200,,Thread-Gruppe 1-7,text,true,,10461,448,8,8,169,0,15
1776901778371,169,Update Cart-0,302,,Thread-Gruppe 1-7,,true,,669,294,8,8,169,0,15
1776901778540,1194,Update Cart-1,200,,Thread-Gruppe 1-7,text,true,,9792,154,8,8,1194,0,0
