timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776900518687,47,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,1,1,47,0,15
1776900518746,30,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,2,2,30,0,8
1776900518735,52,Login,200,,Thread-Gruppe 1-1,text,true,,9922,428,2,2,32,0,0
1776900518735,32,Login-0,302,,Thread-Gruppe 1-1,,true,,804,278,2,2,32,0,0
1776900518767,20,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,20,0,0
1776900518809,48,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,3,3,48,0,15
1776900518786,93,Login,200,,Thread-Gruppe 1-2,text,true,,9921,428,4,4,38,0,0
1776900518786,38,Login-0,302,,Thread-Gruppe 1-2,,true,,803,278,4,4,38,0,0
1776900518824,55,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,4,4,33,0,0
1776900518787,103,List Products,200,,Thread-Gruppe 1-1,text,true,,123956,176,4,4,46,0,0
1776900518869,64,Login,200,,Thread-Gruppe 1-3,text,true,,9921,428,4,4,45,0,0
1776900518868,65,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,4,4,65,0,22
1776900518869,45,Login-0,302,,Thread-Gruppe 1-3,,true,,803,278,4,4,45,0,0
1776900518914,19,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,4,4,19,0,0
1776900518879,148,List Products,200,,Thread-Gruppe 1-2,text,true,,97994,176,6,6,52,0,0
1776900518891,158,Look at Product,200,,Thread-Gruppe 1-1,text,true,,122844,164,6,6,110,0,0
1776900518937,154,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,7,7,153,0,108
1776900519028,70,Look at Product,200,,Thread-Gruppe 1-2,text,true,,103811,163,7,7,64,0,0
1776900518947,174,Login,200,,Thread-Gruppe 1-4,text,true,,9921,428,7,7,98,0,0
1776900518947,98,Login-0,302,,Thread-Gruppe 1-4,,true,,803,278,7,7,98,0,0
1776900519045,76,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,7,7,76,0,0
