timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776900755319,47,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,47,0,8
1776900755362,42,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,2,2,42,0,8
1776900755367,55,Login,200,,Thread-Gruppe 1-1,text,true,,9922,428,2,2,41,0,0
1776900755367,41,Login-0,302,,Thread-Gruppe 1-1,,true,,804,278,2,2,41,0,0
1776900755408,14,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,14,0,0
1776900755404,35,Login,200,,Thread-Gruppe 1-2,text,true,,9922,428,3,3,21,0,0
1776900755404,21,Login-0,302,,Thread-Gruppe 1-2,,true,,804,278,3,3,21,0,0
1776900755425,14,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,3,3,14,0,0
1776900755426,51,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,3,3,51,0,8
1776900755422,78,List Products,200,,Thread-Gruppe 1-1,text,true,,123956,176,3,3,26,0,0
1776900755503,46,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,4,4,46,0,8
1776900755463,99,List Products,200,,Thread-Gruppe 1-2,text,true,,112658,176,4,4,61,0,0
1776900755486,115,Login,200,,Thread-Gruppe 1-3,text,true,,9921,428,5,5,49,0,0
1776900755486,49,Login-0,302,,Thread-Gruppe 1-3,,true,,803,278,5,5,49,0,0
1776900755535,66,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,5,5,66,0,0
1776900755567,72,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,6,6,72,0,8
1776900755501,200,Look at Product,200,,Thread-Gruppe 1-1,text,true,,122192,164,7,7,137,0,0
1776900755562,215,Look at Product,200,,Thread-Gruppe 1-2,text,true,,106267,164,8,8,193,0,0
1776900755734,88,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,9,9,88,0,43
1776900755672,152,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,9,9,152,0,40
1776900755609,215,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,9,9,215,0,54
1776900755583,241,Login,200,,Thread-Gruppe 1-4,text,true,,9920,428,9,9,80,0,0
1776900755583,80,Login-0,302,,Thread-Gruppe 1-4,,true,,802,278,9,9,80,0,0
1776900755663,161,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,9,9,159,0,0
1776900755777,123,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,9792,263,10,10,123,0,0
1776900755701,200,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,9792,263,10,10,199,0,0
1776900755861,54,Home,200,,Thread-Gruppe 1-10,text,true,,9118,150,10,10,54,0,16
1776900755601,353,List Products,200,,Thread-Gruppe 1-3,text,true,,112658,176,11,11,314,0,0
1776900755799,212,Home,200,,Thread-Gruppe 1-9,text,true,,9118,150,12,12,212,0,25
1776900755688,331,Login,200,,Thread-Gruppe 1-5,text,true,,9921,428,12,12,212,0,0
1776900755688,212,Login-0,302,,Thread-Gruppe 1-5,,true,,803,278,12,12,212,0,0
1776900755900,119,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,12,12,119,0,0
1776900755923,96,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,12,12,96,0,29
1776900755824,222,List Products,200,,Thread-Gruppe 1-4,text,true,,112658,176,12,12,187,0,0
1776900755987,213,Home,200,,Thread-Gruppe 1-12,text,true,,9118,150,15,15,213,0,9
1776900755852,359,Login,200,,Thread-Gruppe 1-7,text,true,,9919,428,15,15,151,0,0
1776900755852,151,Login-0,302,,Thread-Gruppe 1-7,,true,,801,278,15,15,151,0,0
1776900756003,208,Login-1,200,,Thread-Gruppe 1-7,text,true,,9118,150,15,15,208,0,0
1776900755824,389,Login,200,,Thread-Gruppe 1-6,text,true,,9920,428,15,15,179,0,0
1776900755824,179,Login-0,302,,Thread-Gruppe 1-6,,true,,802,278,15,15,179,0,0
1776900756003,210,Login-1,200,,Thread-Gruppe 1-6,text,true,,9118,150,15,15,209,0,0
1776900756050,163,Home,200,,Thread-Gruppe 1-13,text,true,,9118,150,15,15,163,0,9
1776900755977,338,Update Cart,200,,Thread-Gruppe 1-2,text,true,,10461,448,16,16,34,0,0
1776900755977,34,Update Cart-0,302,,Thread-Gruppe 1-2,,true,,669,294,16,16,34,0,0
1776900756011,304,Update Cart-1,200,,Thread-Gruppe 1-2,text,true,,9792,154,16,16,304,0,0
1776900755901,414,Update Cart,200,,Thread-Gruppe 1-1,text,true,,10461,448,16,16,102,0,0
1776900755901,102,Update Cart-0,302,,Thread-Gruppe 1-1,,true,,669,294,16,16,102,0,0
1776900756003,312,Update Cart-1,200,,Thread-Gruppe 1-1,text,true,,9792,154,16,16,312,0,0
1776900756113,202,Home,200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,202,0,10
1776900755913,404,Login,200,,Thread-Gruppe 1-8,text,true,,9920,428,16,16,194,0,0
1776900756061,256,Login,200,,Thread-Gruppe 1-10,text,true,,9922,429,16,16,139,0,0
1776900756061,139,Login-0,302,,Thread-Gruppe 1-10,,true,,804,279,16,16,139,0,0
1776900756201,116,Login-1,200,,Thread-Gruppe 1-10,text,true,,9118,150,16,16,116,0,0
1776900755913,194,Login-0,302,,Thread-Gruppe 1-8,,true,,802,278,16,16,194,0,0
1776900756107,210,Login-1,200,,Thread-Gruppe 1-8,text,true,,9118,150,16,16,210,0,0
1776900756176,145,Home,200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,142,0,35
1776900756039,282,Login,200,,Thread-Gruppe 1-9,text,true,,9920,428,16,16,162,0,0
1776900756039,162,Login-0,302,,Thread-Gruppe 1-9,,true,,802,278,16,16,162,0,0
1776900756201,120,Login-1,200,,Thread-Gruppe 1-9,text,true,,9118,150,16,16,120,0,0
1776900756238,85,Home,200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,83,0,8
1776900756019,349,List Products,200,,Thread-Gruppe 1-5,text,true,,97994,176,16,16,299,0,0
1776900755955,486,Look at Product,200,,Thread-Gruppe 1-3,text,true,,106242,164,16,16,454,0,0
1776900756163,287,Login,200,,Thread-Gruppe 1-11,text,true,,9920,429,16,16,152,0,0
1776900756163,152,Login-0,302,,Thread-Gruppe 1-11,,true,,802,279,16,16,152,0,0
1776900756315,135,Login-1,200,,Thread-Gruppe 1-11,text,true,,9118,150,16,16,135,0,0
1776900756213,257,List Products,200,,Thread-Gruppe 1-6,text,true,,105228,176,16,16,207,0,0
1776900756211,378,List Products,200,,Thread-Gruppe 1-7,text,true,,105228,176,16,16,308,0,0
1776900756315,300,Logout,200,,Thread-Gruppe 1-2,text,true,,10250,402,16,16,135,0,0
1776900756315,135,Logout-0,302,,Thread-Gruppe 1-2,,true,,1132,252,16,16,135,0,0
1776900756450,165,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,165,0,0
1776900756286,338,Login,200,,Thread-Gruppe 1-12,text,true,,9921,429,16,16,123,0,0
1776900756286,123,Login-0,302,,Thread-Gruppe 1-12,,true,,803,279,16,16,123,0,0
1776900756409,215,Login-1,200,,Thread-Gruppe 1-12,text,true,,9118,150,16,16,215,0,0
1776900756064,560,Look at Product,200,,Thread-Gruppe 1-4,text,true,,106230,164,16,16,466,0,0
1776900756359,302,List Products,200,,Thread-Gruppe 1-9,text,true,,112658,176,16,16,266,0,0
1776900756315,405,Logout,200,,Thread-Gruppe 1-1,text,true,,10250,402,16,16,182,0,0
1776900756315,182,Logout-0,302,,Thread-Gruppe 1-1,,true,,1132,252,16,16,182,0,0
1776900756497,223,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,216,0,0
1776900756441,279,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,9792,263,16,16,279,0,0
1776900756351,369,Login,200,,Thread-Gruppe 1-13,text,true,,9920,429,16,16,168,0,0
1776900756351,168,Login-0,302,,Thread-Gruppe 1-13,,true,,802,279,16,16,168,0,0
1776900756519,201,Login-1,200,,Thread-Gruppe 1-13,text,true,,9118,150,16,16,201,0,0
1776900756380,400,List Products,200,,Thread-Gruppe 1-10,text,true,,151559,176,16,16,327,0,0
1776900756433,372,Login,200,,Thread-Gruppe 1-14,text,true,,9922,429,16,16,182,0,0
1776900756433,182,Login-0,302,,Thread-Gruppe 1-14,,true,,804,279,16,16,182,0,0
1776900756615,190,Login-1,200,,Thread-Gruppe 1-14,text,true,,9118,150,16,16,190,0,0
1776900756482,347,List Products,200,,Thread-Gruppe 1-11,text,true,,112658,176,16,16,243,0,0
1776900756317,544,List Products,200,,Thread-Gruppe 1-8,text,true,,112658,176,16,16,505,0,0
1776900756638,269,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,269,0,0
1776900756558,350,Login,200,,Thread-Gruppe 1-16,text,true,,9921,429,16,16,68,0,0
1776900756558,68,Login-0,302,,Thread-Gruppe 1-16,,true,,803,279,16,16,68,0,0
1776900756627,281,Login-1,200,,Thread-Gruppe 1-16,text,true,,9118,150,16,16,281,0,0
1776900756496,414,Login,200,,Thread-Gruppe 1-15,text,true,,9920,429,16,16,224,0,0
1776900756496,224,Login-0,302,,Thread-Gruppe 1-15,,true,,802,279,16,16,224,0,0
1776900756720,190,Login-1,200,,Thread-Gruppe 1-15,text,true,,9118,150,16,16,190,0,0
1776900756720,190,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,190,0,0
1776900756624,383,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,9792,263,16,16,383,0,0
1776900756763,372,Update Cart,200,,Thread-Gruppe 1-3,text,true,,10461,448,16,16,59,0,0
1776900756763,59,Update Cart-0,302,,Thread-Gruppe 1-3,,true,,669,294,16,16,59,0,0
1776900756822,313,Update Cart-1,200,,Thread-Gruppe 1-3,text,true,,9792,154,16,16,313,0,0
1776900756368,872,Look at Product,200,,Thread-Gruppe 1-5,text,true,,100832,163,16,16,765,0,0
1776900756533,720,Look at Product,200,,Thread-Gruppe 1-6,text,true,,101583,164,16,16,714,0,0
1776900756624,634,List Products,200,,Thread-Gruppe 1-12,text,true,,105228,176,16,16,507,0,0
1776900756721,552,List Products,200,,Thread-Gruppe 1-13,text,true,,112658,176,16,16,410,0,0
1776900756957,359,Login,200,,Thread-Gruppe 1-2,text,true,,9921,428,16,16,174,0,0
1776900756957,174,Login-0,302,,Thread-Gruppe 1-2,,true,,803,278,16,16,174,0,0
1776900757131,185,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,16,16,184,0,0
1776900756805,515,List Products,200,,Thread-Gruppe 1-14,text,true,,105228,176,16,16,435,0,0
1776900756910,433,List Products,200,,Thread-Gruppe 1-15,text,true,,112658,176,16,16,405,0,0
1776900757008,427,Update Cart,200,,Thread-Gruppe 1-4,text,true,,10461,448,16,16,125,0,0
1776900757008,125,Update Cart-0,302,,Thread-Gruppe 1-4,,true,,669,294,16,16,125,0,0
1776900757133,302,Update Cart-1,200,,Thread-Gruppe 1-4,text,true,,9792,154,16,16,302,0,0
1776900757135,309,Logout,200,,Thread-Gruppe 1-3,text,true,,10250,402,16,16,112,0,0
1776900757135,112,Logout-0,302,,Thread-Gruppe 1-3,,true,,1132,252,16,16,112,0,0
1776900757247,197,Logout-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,16,16,197,0,0
1776900757038,408,Login,200,,Thread-Gruppe 1-1,text,true,,9921,428,16,16,202,0,0
1776900757038,202,Login-0,302,,Thread-Gruppe 1-1,,true,,803,278,16,16,202,0,0
1776900757240,206,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,16,16,206,0,0
1776900756590,998,Look at Product,200,,Thread-Gruppe 1-7,text,true,,101035,164,16,16,845,0,0
1776900756684,914,Look at Product,200,,Thread-Gruppe 1-9,text,true,,108498,164,16,16,764,0,0
1776900757240,359,Add Product to Cart,200,,Thread-Gruppe 1-5,text,true,,9792,262,16,16,358,0,0
1776900757253,399,Add Product to Cart,200,,Thread-Gruppe 1-6,text,true,,9792,263,16,16,399,0,0
1776900756780,914,Look at Product,200,,Thread-Gruppe 1-10,text,true,,151054,164,16,16,718,0,0
1776900757456,238,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,16,16,238,0,0
1776900757316,414,List Products,200,,Thread-Gruppe 1-2,text,true,,97994,176,16,16,380,0,0
1776900756908,824,List Products,200,,Thread-Gruppe 1-16,text,true,,123956,176,16,16,528,0,0
1776900756861,873,Look at Product,200,,Thread-Gruppe 1-8,text,true,,108049,164,16,16,784,0,0
1776900756829,905,Look at Product,200,,Thread-Gruppe 1-11,text,true,,108097,164,16,16,770,0,0
1776900757446,299,List Products,200,,Thread-Gruppe 1-1,text,true,,97994,176,16,16,288,0,0
1776900757588,230,Add Product to Cart,200,,Thread-Gruppe 1-7,text,true,,9792,263,16,16,230,0,0
1776900757258,643,Look at Product,200,,Thread-Gruppe 1-12,text,true,,100121,164,16,16,560,0,0
1776900757598,413,Add Product to Cart,200,,Thread-Gruppe 1-9,text,true,,9792,263,16,16,413,0,0
1776900757435,627,Logout,200,,Thread-Gruppe 1-4,text,true,,10250,402,16,16,217,0,0
1776900757435,217,Logout-0,302,,Thread-Gruppe 1-4,,true,,1132,252,16,16,217,0,0
1776900757652,410,Logout-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,16,16,410,0,0
1776900757694,430,Add Product to Cart,200,,Thread-Gruppe 1-10,text,true,,9792,263,16,16,430,0,0
1776900757599,571,Update Cart,200,,Thread-Gruppe 1-5,text,true,,10461,447,16,16,135,0,0
1776900757599,135,Update Cart-0,302,,Thread-Gruppe 1-5,,true,,669,293,16,16,135,0,0
1776900757735,435,Update Cart-1,200,,Thread-Gruppe 1-5,text,true,,9792,154,16,16,435,0,0
1776900757734,438,Add Product to Cart,200,,Thread-Gruppe 1-11,text,true,,9792,263,16,16,438,0,0
1776900757320,865,Look at Product,200,,Thread-Gruppe 1-14,text,true,,104051,164,16,16,742,0,0
1776900757344,848,Look at Product,200,,Thread-Gruppe 1-15,text,true,,108797,164,16,16,754,0,0
1776900757734,458,Add Product to Cart,200,,Thread-Gruppe 1-8,text,true,,9792,263,16,16,458,0,0
1776900757901,291,Add Product to Cart,200,,Thread-Gruppe 1-12,text,true,,9792,263,16,16,291,0,0
1776900757652,542,Update Cart,200,,Thread-Gruppe 1-6,text,true,,10461,448,16,16,166,0,0
1776900757652,166,Update Cart-0,302,,Thread-Gruppe 1-6,,true,,669,294,16,16,166,0,0
1776900757818,376,Update Cart-1,200,,Thread-Gruppe 1-6,text,true,,9792,154,16,16,376,0,0
1776900757766,434,Look at Product,200,,Thread-Gruppe 1-1,text,true,,103614,163,16,16,428,0,0
1776900757274,933,Look at Product,200,,Thread-Gruppe 1-13,text,true,,108049,164,16,16,737,0,0
1776900757731,565,Look at Product,200,,Thread-Gruppe 1-2,text,true,,103572,163,16,16,531,0,0
1776900758062,234,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,16,16,234,0,0
1776900757912,384,Update Cart,200,,Thread-Gruppe 1-7,text,true,,10461,448,16,16,99,0,0
1776900757912,99,Update Cart-0,302,,Thread-Gruppe 1-7,,true,,669,294,16,16,99,0,0
1776900758011,285,Update Cart-1,200,,Thread-Gruppe 1-7,text,true,,9792,154,16,16,285,0,0
