timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776897305035,61,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,61,0,11
1776897305065,129,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,6,6,129,0,10
1776897305101,98,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,6,6,97,0,11
1776897305135,146,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,8,8,146,0,12
1776897305220,72,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,9,9,72,0,9
1776897305097,283,Login,200,,Thread-Gruppe 1-1,text,true,,9920,428,11,11,102,0,0
1776897305097,102,Login-0,302,,Thread-Gruppe 1-1,,true,,802,278,11,11,102,0,0
1776897305199,181,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,11,11,181,0,0
1776897305187,216,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,12,12,216,0,14
1776897305159,244,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,12,12,244,0,42
1776897305254,229,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,14,14,229,0,8
1776897305353,130,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,14,14,130,0,9
1776897305319,266,Home,200,,Thread-Gruppe 1-10,text,true,,9118,150,18,18,266,0,10
1776897305286,400,Home,200,,Thread-Gruppe 1-9,text,true,,9118,150,21,21,400,0,10
1776897305199,584,Login,200,,Thread-Gruppe 1-3,text,true,,9920,428,24,24,183,0,0
1776897305199,183,Login-0,302,,Thread-Gruppe 1-3,,true,,802,278,24,24,183,0,0
1776897305382,401,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,24,24,401,0,0
1776897305418,478,Home,200,,Thread-Gruppe 1-13,text,true,,9118,150,27,27,478,0,8
1776897305309,588,Login,200,,Thread-Gruppe 1-7,text,true,,9920,428,27,27,174,0,0
1776897305309,174,Login-0,302,,Thread-Gruppe 1-7,,true,,802,278,27,27,174,0,0
1776897305483,414,Login-1,200,,Thread-Gruppe 1-7,text,true,,9118,150,27,27,414,0,0
1776897305385,602,Home,200,,Thread-Gruppe 1-12,text,true,,9118,150,30,30,600,0,21
1776897305194,890,Login,200,,Thread-Gruppe 1-2,text,true,,9921,428,30,30,188,0,0
1776897305194,188,Login-0,302,,Thread-Gruppe 1-2,,true,,803,278,30,30,188,0,0
1776897305382,702,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,30,30,514,0,0
1776897305584,500,Home,200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,500,0,9
1776897305617,467,Home,200,,Thread-Gruppe 1-19,text,true,,9118,150,30,30,467,0,9
1776897305485,705,Home,200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,705,0,23
1776897305281,910,Login,200,,Thread-Gruppe 1-4,text,true,,9922,428,30,30,202,0,0
1776897305281,202,Login-0,302,,Thread-Gruppe 1-4,,true,,804,278,30,30,202,0,0
1776897305483,708,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,30,30,708,0,0
1776897305493,698,Login,200,,Thread-Gruppe 1-11,text,true,,9922,429,30,30,187,0,0
1776897305493,187,Login-0,302,,Thread-Gruppe 1-11,,true,,804,279,30,30,187,0,0
1776897305680,511,Login-1,200,,Thread-Gruppe 1-11,text,true,,9118,150,30,30,511,0,0
1776897305380,904,List Products,200,,Thread-Gruppe 1-1,text,true,,105228,176,30,30,811,0,0
1776897305846,540,Home,200,,Thread-Gruppe 1-26,text,true,,9118,150,30,30,540,0,8
1776897305516,965,Home,200,,Thread-Gruppe 1-16,text,true,,9118,150,30,30,965,0,10
1776897305813,668,Home,200,,Thread-Gruppe 1-25,text,true,,9118,150,30,30,666,0,8
1776897305452,1029,Home,200,,Thread-Gruppe 1-14,text,true,,9118,150,30,30,1029,0,17
1776897305648,833,Home,200,,Thread-Gruppe 1-20,text,true,,9118,150,30,30,831,0,11
1776897305551,933,Home,200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,933,0,8
1776897305714,863,Home,200,,Thread-Gruppe 1-22,text,true,,9118,150,30,30,863,0,51
1776897305686,904,Login,200,,Thread-Gruppe 1-9,text,true,,9920,428,30,30,504,0,0
1776897305913,677,Home,200,,Thread-Gruppe 1-28,text,true,,9118,150,30,30,676,0,11
1776897305686,504,Login-0,302,,Thread-Gruppe 1-9,,true,,802,278,30,30,504,0,0
1776897306190,400,Login-1,200,,Thread-Gruppe 1-9,text,true,,9118,150,30,30,400,0,0
1776897305403,1187,Login,200,,Thread-Gruppe 1-6,text,true,,9921,428,30,30,283,0,0
1776897305403,283,Login-0,302,,Thread-Gruppe 1-6,,true,,803,278,30,30,283,0,0
1776897305686,904,Login-1,200,,Thread-Gruppe 1-6,text,true,,9118,150,30,30,891,0,0
1776897305783,865,List Products,200,,Thread-Gruppe 1-3,text,true,,105228,176,30,30,803,0,0
1776897305987,708,Login,200,,Thread-Gruppe 1-12,text,true,,9921,429,30,30,398,0,0
1776897305987,398,Login-0,302,,Thread-Gruppe 1-12,,true,,803,279,30,30,398,0,0
1776897306385,310,Login-1,200,,Thread-Gruppe 1-12,text,true,,9118,150,30,30,310,0,0
1776897306084,612,Login,200,,Thread-Gruppe 1-19,text,true,,9921,429,30,30,400,0,0
1776897306084,400,Login-0,302,,Thread-Gruppe 1-19,,true,,803,279,30,30,400,0,0
1776897306484,212,Login-1,200,,Thread-Gruppe 1-19,text,true,,9118,150,30,30,212,0,0
1776897305881,820,Home,200,,Thread-Gruppe 1-27,text,true,,9118,150,30,30,820,0,20
1776897305586,1115,Login,200,,Thread-Gruppe 1-10,text,true,,9922,429,30,30,500,0,0
1776897305586,500,Login-0,302,,Thread-Gruppe 1-10,,true,,804,279,30,30,500,0,0
1776897306086,615,Login-1,200,,Thread-Gruppe 1-10,text,true,,9118,150,30,30,615,0,0
1776897305980,721,Home,200,,Thread-Gruppe 1-30,text,true,,9118,150,30,30,721,0,40
1776897305404,1299,Login,200,,Thread-Gruppe 1-5,text,true,,9922,428,30,30,379,0,0
1776897305404,379,Login-0,302,,Thread-Gruppe 1-5,,true,,804,278,30,30,379,0,0
1776897305783,920,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,30,30,920,0,0
1776897305945,827,Home,200,,Thread-Gruppe 1-29,text,true,,9118,150,30,30,756,0,13
1776897305749,1064,Home,200,,Thread-Gruppe 1-23,text,true,,9118,150,30,30,1064,0,18
1776897305681,1133,Home,200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,1015,0,9
1776897306191,623,Login,200,,Thread-Gruppe 1-15,text,true,,9922,429,30,30,386,0,0
1776897306191,386,Login-0,302,,Thread-Gruppe 1-15,,true,,804,279,30,30,386,0,0
1776897306577,237,Login-1,200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,237,0,0
1776897305781,1033,Home,200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,1033,0,14
1776897306084,729,List Products,200,,Thread-Gruppe 1-2,text,true,,97994,176,30,30,611,0,0
1776897305483,1333,Login,200,,Thread-Gruppe 1-8,text,true,,9921,428,30,30,707,0,0
1776897305483,707,Login-0,302,,Thread-Gruppe 1-8,,true,,803,278,30,30,707,0,0
1776897306190,626,Login-1,200,,Thread-Gruppe 1-8,text,true,,9118,150,30,30,626,0,0
1776897306084,732,Login,200,,Thread-Gruppe 1-18,text,true,,9921,429,30,30,506,0,0
1776897306084,506,Login-0,302,,Thread-Gruppe 1-18,,true,,803,279,30,30,506,0,0
1776897306590,226,Login-1,200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,226,0,0
1776897305897,993,Login,200,,Thread-Gruppe 1-13,text,true,,9922,429,30,30,804,0,0
1776897305897,804,Login-0,302,,Thread-Gruppe 1-13,,true,,804,279,30,30,804,0,0
1776897306701,189,Login-1,200,,Thread-Gruppe 1-13,text,true,,9118,150,30,30,189,0,0
1776897305897,1023,List Products,200,,Thread-Gruppe 1-7,text,true,,112658,176,30,30,991,0,0
1776897306386,604,Login,200,,Thread-Gruppe 1-26,text,true,,9921,429,30,30,430,0,0
1776897306386,430,Login-0,302,,Thread-Gruppe 1-26,,true,,803,279,30,30,430,0,0
1776897306816,174,Login-1,200,,Thread-Gruppe 1-26,text,true,,9118,150,30,30,174,0,0
1776897306484,509,Login,200,,Thread-Gruppe 1-17,text,true,,9920,429,30,30,329,0,0
1776897306484,329,Login-0,302,,Thread-Gruppe 1-17,,true,,802,279,30,30,329,0,0
1776897306813,180,Login-1,200,,Thread-Gruppe 1-17,text,true,,9118,150,30,30,180,0,0
1776897306482,597,Login,200,,Thread-Gruppe 1-14,text,true,,9921,429,30,30,332,0,0
1776897306482,332,Login-0,302,,Thread-Gruppe 1-14,,true,,803,279,30,30,332,0,0
1776897306814,265,Login-1,200,,Thread-Gruppe 1-14,text,true,,9118,150,30,30,265,0,0
