timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1776899065149,63,Home,200,,Thread-Gruppe 1-1,text,true,,9118,150,2,2,62,0,9
1776899065235,58,Home,200,,Thread-Gruppe 1-3,text,true,,9118,150,4,4,58,0,8
1776899065194,99,Home,200,,Thread-Gruppe 1-2,text,true,,9118,150,4,4,99,0,10
1776899065272,46,Home,200,,Thread-Gruppe 1-4,text,true,,9118,150,5,5,46,0,13
1776899065318,171,Home,200,,Thread-Gruppe 1-5,text,true,,9118,150,8,8,167,0,13
1776899065213,379,Login,200,,Thread-Gruppe 1-1,text,true,,9922,428,11,11,91,0,0
1776899065213,91,Login-0,302,,Thread-Gruppe 1-1,,true,,804,278,11,11,91,0,0
1776899065304,288,Login-1,200,,Thread-Gruppe 1-1,text,true,,9118,150,11,11,288,0,0
1776899065293,299,Login,200,,Thread-Gruppe 1-3,text,true,,9921,428,11,11,28,0,0
1776899065293,28,Login-0,302,,Thread-Gruppe 1-3,,true,,803,278,11,11,28,0,0
1776899065321,271,Login-1,200,,Thread-Gruppe 1-3,text,true,,9118,150,11,11,271,0,0
1776899065293,301,Login,200,,Thread-Gruppe 1-2,text,true,,9919,428,11,11,93,0,0
1776899065293,93,Login-0,302,,Thread-Gruppe 1-2,,true,,801,278,11,11,93,0,0
1776899065386,208,Login-1,200,,Thread-Gruppe 1-2,text,true,,9118,150,11,11,206,0,0
1776899065363,231,Home,200,,Thread-Gruppe 1-6,text,true,,9118,150,11,11,231,0,8
1776899065408,186,Home,200,,Thread-Gruppe 1-7,text,true,,9118,150,11,11,186,0,8
1776899065453,241,Home,200,,Thread-Gruppe 1-8,text,true,,9118,150,13,13,241,0,8
1776899065498,282,Home,200,,Thread-Gruppe 1-9,text,true,,9118,150,15,15,282,0,12
1776899065339,441,Login,200,,Thread-Gruppe 1-4,text,true,,9920,428,15,15,146,0,0
1776899065339,146,Login-0,302,,Thread-Gruppe 1-4,,true,,802,278,15,15,146,0,0
1776899065485,295,Login-1,200,,Thread-Gruppe 1-4,text,true,,9118,150,15,15,295,0,0
1776899065543,351,Home,200,,Thread-Gruppe 1-10,text,true,,9118,150,17,17,350,0,9
1776899065588,306,Home,200,,Thread-Gruppe 1-11,text,true,,9118,150,17,17,306,0,11
1776899065489,409,Login,200,,Thread-Gruppe 1-5,text,true,,9921,428,17,17,207,0,0
1776899065489,207,Login-0,302,,Thread-Gruppe 1-5,,true,,803,278,17,17,207,0,0
1776899065696,202,Login-1,200,,Thread-Gruppe 1-5,text,true,,9118,150,17,17,202,0,0
1776899065594,402,Login,200,,Thread-Gruppe 1-6,text,true,,9920,428,20,20,191,0,0
1776899065594,191,Login-0,302,,Thread-Gruppe 1-6,,true,,802,278,20,20,191,0,0
1776899065785,211,Login-1,200,,Thread-Gruppe 1-6,text,true,,9118,150,20,20,211,0,0
1776899065633,363,Home,200,,Thread-Gruppe 1-12,text,true,,9118,150,20,20,363,0,9
1776899065694,308,Login,200,,Thread-Gruppe 1-8,text,true,,9920,428,20,20,204,0,0
1776899065694,204,Login-0,302,,Thread-Gruppe 1-8,,true,,802,278,20,20,204,0,0
1776899065898,104,Login-1,200,,Thread-Gruppe 1-8,text,true,,9118,150,20,20,104,0,0
1776899065723,279,Home,200,,Thread-Gruppe 1-14,text,true,,9118,150,20,20,279,0,12
1776899065677,326,Home,200,,Thread-Gruppe 1-13,text,true,,9118,150,20,20,325,0,17
1776899065592,453,List Products,200,,Thread-Gruppe 1-3,text,true,,105228,176,21,21,404,0,0
